task id,website,serving type,task types,data path,goal,eval type,start url,evaluation,timestamp,n steps,owner,comment,
0,svelte,online,icon recognition,svelte/svelte_toolbar.wacz,Open the side menu,js_matcher,https://docs.svar.dev/svelte/core/samples-toolbar/,"document.querySelector('a[href=""#/base/willow""]') != null",,,Sanjari,,
1,svelte,online,menu navigation,svelte/svelte_toolbar.wacz,Go to Button types in side menu and move slider to 40%,js_matcher,https://docs.svar.dev/svelte/core/samples-toolbar/,"document.querySelector('div[class=""demo-status""]').textContent == 'x changed: 40'",,,Sanjari,,
2,svelte,online,datepicker,svelte/svelte_toolbar.wacz,Select date 6 June 2024 in the date picker,js_matcher,https://docs.svar.dev/svelte/core/samples-toolbar/#/buttons/willow,"document.querySelector('div[class=""demo-status""]').textContent ==  'x changed: Thu Jun 06 2024 00:00:00 GMT-0700 (Pacific Daylight Time)'",,,Sanjari,,
3,svelte,online,pagination,svelte/svelte_toolbar.wacz,Move to the last page using the widget at the bottom of the page,js_matcher,https://docs.svar.dev/svelte/core/samples-toolbar/#/buttons/willow,"document.querySelector('div[class=""demo-status""]').textContent ==  'x changed: 5'",,,Sanjari,,
4,svelte,online,dropdown option selection,svelte/svelte_toolbar.wacz,Select the font Times from the dropdown,js_matcher,https://docs.svar.dev/svelte/core/samples-toolbar/#/ribbon/willow,"document.querySelector('div[class=""wx-label svelte-1ccyn9c""]').textContent == 'Times'",,,Sanjari,,
5,Alaska Airlines,online,datepicker,alaska_airlines/alaska_airlines_flight_booking.wacz,Select March 21 2025 as the departing date,js_matcher,https://www.alaskaair.com/search/?A=1&C=0&L=0&O=JFK&D=SFO&OD=2025-02-18&DD=2025-02-18&RT=true&errorRedirect=true,"document.querySelector('auro-datepicker').getAttribute(""calendarfocusdate"")==""03/21/2025""",1741648127,,Sanjari,,
6,Alaska Airlines,online,datepicker,alaska_airlines/alaska_airlines_flight_booking.wacz,Select March 21 2025 as the departing date and April 21 2025 as the returning date,js_matcher,https://www.alaskaair.com/search/?A=1&C=0&L=0&O=JFK&D=SFO&OD=2025-02-18&DD=2025-02-18&RT=true&errorRedirect=true,"document.querySelector('auro-datepicker').getAttribute(""calendarfocusdate"")==""03/21/2025"" && document.querySelector('auro-datepicker').getAttribute(""valueend"")==""04/21/2025""",1741648127,,Sanjari,,
7,Alaska Airlines,online,dropdown option selection,alaska_airlines/alaska_airlines_flight_booking.wacz,Set the adults count to 3 and add 1 child of age 14,js_matcher,https://www.alaskaair.com/search/?A=1&C=0&L=0&O=JFK&D=SFO&OD=2025-02-18&DD=2025-02-18&RT=true&errorRedirect=true,"document.querySelector(""body > div:nth-child(1) > main > div > div.planbook.svelte-1gb4rvd > div.planbook-input-container.svelte-1gb4rvd > div.left-top.svelte-1gb4rvd > div.datepicker-pax-container.svelte-1gb4rvd > div.passenger-selects.svelte-1gb4rvd > auro-select"").shadowRoot.querySelector(""#triggerFocus > auro-menuoption"").value === ""3"" && document.querySelector(""#dropdown > div:nth-child(3) > div:nth-child(1) > span.inputNumber.svelte-18kg6tv"").innerHTML === ""1""",,,Cheng,,
8,Alaska Airlines,online,form filling,alaska_airlines/alaska_airlines_flight_booking.wacz,"Continue filling the search form using the following information: {""one way"": True, ""use miles"": True, ""upgrade"": ""MVP Gold 75K""}",js_matcher,https://www.alaskaair.com/search/?A=1&C=0&L=0&O=JFK&D=SFO&OD=2025-02-18&DD=2025-02-18&RT=true&errorRedirect=true,"document.querySelector(""#upgradeType"").shadowRoot.querySelector(""#triggerFocus > auro-menuoption"").innerHTML.includes(""MVP® Gold 75K"") && document.querySelector(""body > div:nth-child(1) > main > div > div.planbook.svelte-1gb4rvd > div.planbook-input-container.svelte-1gb4rvd > div.left-top.svelte-1gb4rvd > auro-radio-group > auro-radio:nth-child(3)"").checked && document.querySelector(""body > div:nth-child(1) > main > div > div.planbook.svelte-1gb4rvd > div.planbook-input-container.svelte-1gb4rvd > div.right-bottom.svelte-1gb4rvd > div > div.use-miles-container.svelte-1gb4rvd > auro-checkbox"").checked",,,Cheng,,
9,Alaska Airlines,online,icon recognition,alaska_airlines/alaska_airlines_flight_booking.wacz,Swap the From and To airports in 1 step,js_matcher,https://www.alaskaair.com/search/?A=1&C=0&L=0&O=JFK&D=SFO&OD=2025-02-18&DD=2025-02-18&RT=true&errorRedirect=true,"document.querySelector(""#fromCity"").value.includes(""San Francisco, CA (SFO-San Francisco Intl.)"") && document.querySelector(""#toCity"").value.includes(""New York, NY (JFK-Kennedy)"")",,1,Cheng,"Technically this will also evaluate to True if the agent remembered the From and To airport and manually reentered them, but we cannot distinguish the 2 cases with JS function alone. We'd need a max step limitation.",
10,Zendesk,online,dropdown option selection,zendesk/zendesk_home.wacz,"Display only the tickets with ""open"" status",js_matcher,https://orby-ai.zendesk.com/agent/home/tickets,"document.querySelector('li.StyledOption-sc-jl4wn6-0.StyledItem-sc-1jp99dq-0.abTCS.cdkcNA').getAttribute('aria-checked') === ""true""",,,Cheng,,
